AIM_OF_USE,RESOURCE_TYPE,OS_HOSTNAME,OS_IP_ADDRESS,VM_GUESTNAME,LOGICALY_HOSTED_ON,CHASSIS_NAME,CONSOLE_IP,CONSOLE_ACCESS_PROTOCOL,OS_TYPE,OS_TOTAL_CORE,OS_MEM_GB,OS_RELEASE,DR_HOSTNAME,INSTALL_DATE,OS_CLUSTER,CLUSTER_SW_INFO,CLUSTER_SW_VERSION,CLUSTER_SERVICE_IP,VF_SERVICE_DOMAIN,VF_SERVICE_NAME,VF_SERVICE_CLASS,VF_SERVICE_OWNER,OS_ADMIN,BIA_IN_SCOPE,ROW_ID,INSERT_DATE,MANAGED_BY_IT,MAXIMO_OWNER_GROUP,LIFECYCLE,COMMENTS
TEST,VIRTUAL,calldropat1,172.31.61.22,calldropat1,Test-Dev-DR_Cluster,Test-Dev-DR_Cluster,172.30.34.135,vsphere client,SOLARIS,2,16,11.4s,,2-Dec-20,no,,,,IT,Release Management,,Ertun Ucyildiz,Murat Gokmen,,,2-Dec-20,yes,RELEASEMNGMGMT,,
PRODUCTION,VIRTUAL,georanap02,10.86.30.193,georanap02,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,4,32,rhel 7.8_x86_64,,2-Dec-20,no,,,,IT,GeoRAN,,Erhan Eraydin,Rukiye Ozturk,,,2-Dec-20,yes,,,
PRODUCTION,VIRTUAL,vn-nwcactiap1,195.87.113.139,vn-nwcactiap1,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,6,24,rhel 7.8_x86_64,,7-Dec-20,no,,,,IT,Cacti,,Metehan Sarac,Rukiye Ozturk,,,7-Dec-20,yes,,,
PRODUCTION,VIRTUAL,vndwhdd01,172.31.61.20,vndwhdd01,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,8,64,rhel 7.8_x86_64,,8-Dec-20,no,,,,IT,DWH,,Selin Demirkiran,Rukiye Ozturk,,,8-Dec-20,yes,,,
PRODUCTION,VIRTUAL,zbxdcntap01,10.86.14.63,zbxdcntap01,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,4,8,rhel 7.8_x86_64,,8-Dec-20,no,,,,IT,ZABBIX,,Timocin Apak,Eren Orhan,,,8-Dec-20,yes,,,
PRODUCTION,PHYSICAL,vnpdb2dp1,46.234.24.92,vnpdb2dp1,vnpdb2dp1,vnpdb2dp1,10.10.10.19,https,LINUX,36,384,rhel 7.8_x86_64,,9-Dec-20,no,na,na,na,IT,common,DB,Mehmet Kurt,Murat Sari,no,651,27-Oct-20,yes,vfnet,,
PRODUCTION,PHYSICAL,vnpdb2dp2,46.234.24.93,vnpdb2dp2,vnpdb2dp2,vnpdb2dp2,10.10.10.20,https,LINUX,36,384,rhel 7.8_x86_64,,9-Dec-20,no,na,na,na,IT,common,DB,Mehmet Kurt,Murat Sari,no,651,27-Oct-20,yes,Vfnet,,
DR,PHYSICAL,rtbcar20,172.31.83.40,rtbcar20,rtbcar20,rtbcar20,172.31.87.19,https,LINUX,28,256,rhel 7.8_x86_64,,9-Dec-20,na,,,,IT,Tibco Application Server,,Cavit Onan,Saadet Dingec,,,9-Dec-20,yes,,,
DR,PHYSICAL,rtbcar21,172.31.83.48,rtbcar21,rtbcar21,rtbcar21,172.31.87.15,https,LINUX,28,256,rhel 7.8_x86_64,,9-Dec-20,na,,,,IT,Tibco Application Server,,Cavit Onan,Saadet Dingec,,,9-Dec-20,yes,,,
DR,PHYSICAL,rtbcar32,172.31.83.49,rtbcar32,rtbcar32,rtbcar32,172.31.87.20,https,LINUX,28,256,rhel 7.8_x86_64,,9-Dec-20,na,,,,IT,Tibco Application Server,,Cavit Onan,Saadet Dingec,,,9-Dec-20,yes,,,
DR,VIRTUAL,rtbcar29,172.31.83.62,rtbcar29,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,16,64,rhel 7.8_x86_64,,11-Dec-20,no,,,,IT,OM Tibco,,Cavit Onan,Saadet Dingec,,,11-Dec-20,yes,IT_INT_OPS,,
DR,VIRTUAL,rtbcar30,172.31.83.63,rtbcar30,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,16,64,rhel 7.8_x86_64,,11-Dec-20,no,,,,IT,OM Tibco,,Cavit Onan,Saadet Dingec,,,11-Dec-20,yes,IT_INT_OPS,,
DR,VIRTUAL,rtbcar31,172.31.83.64,rtbcar31,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,16,64,rhel 7.8_x86_64,,11-Dec-20,no,,,,IT,OM Tibco,,Cavit Onan,Saadet Dingec,,,11-Dec-20,yes,IT_INT_OPS,,
PRODUCTION,VIRTUAL,vn-nwcactiap2,195.87.113.141,vn-nwcactiap2,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,6,24,rhel 7.8_x86_64,,7-Dec-20,no,,,,IT,Cacti,,Metehan Sarac,Rukiye Ozturk,,,7-Dec-20,yes,,,
PRODUCTION,PHYSICAL,bigldmdp14,10.86.58.146,bigldmdp14,bigldmdp14,bigldmdp14,10.87.3.8,https,LINUX,56,256,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,LDM Big Data,,Mehmet Kurt,Murat Cavli,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccmdfar05,10.86.130.174,mccmdfar05,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccmdfar06,10.86.130.175,mccmdfar06,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccmdfar07,10.86.130.176,mccmdfar07,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccmdfar08,10.86.130.177,mccmdfar08,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccmdfar09,10.86.130.178,mccmdfar09,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccmdfar10,10.86.130.179,mccmdfar10,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
PRODUCTION,VIRTUAL,hrsvcdskap01,10.86.63.20,hrsvcdskap01,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,23-Dec-20,no,na,na,na,IT,OnlineSelfService,,Yigit Aslan,Murat Cavli,no,731,23-Dec-20,yes,IT-VASONLINE,,
PRODUCTION,VIRTUAL,vdprmpgdx1,10.86.48.152,vdprmpgdx1,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,8,16,rhel 7.9_x86_64,,23-Dec-20,no,,,,IT,PARTY MANAGEMENT,PARTY MANAGEMENT,Can Heper,Ugur Gurel,,,23-Dec-20,yes,,,
DR,VIRTUAL,mccmkfkar1,10.86.130.180,mccmkfkar1,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,16,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccmkfkar2,10.86.130.181,mccmkfkar2,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,16,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mcnbaar05,10.86.130.182,mcnbaar05,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,48,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mcnbaar06,10.86.130.183,mcnbaar06,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,24,48,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mcadmasr01,10.86.130.184,mcadmasr01,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,16,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mccvmasr02,10.86.130.185,mccvmasr02,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,16,32,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mcvbdasr03,10.86.130.186,mcvbdasr03,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,16,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
DR,VIRTUAL,mcflwasr04,10.86.130.187,mcflwasr04,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client ,LINUX,16,64,rhel 7.8_x86_64,,16-Dec-20,no,,,,IT,MCCM DF,,Cavit Onan,Murat Sari,,,16-Dec-20,yes,,,
PRODUCTION,VIRTUAL,finmongo1dp1,10.190.227.164,finmongo1dp1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,4,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Mongo,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finmongo1dp2,10.190.227.165,finmongo1dp2,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,4,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Mongo,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finmongo1dp3,10.190.227.166,finmongo1dp3,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,4,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Mongo,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
DR,VIRTUAL,finmongo1dr1,10.190.230.164,finmongo1dr1,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,4,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Mongo,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
DR,VIRTUAL,finmongo1dr2,10.190.230.165,finmongo1dr2,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,4,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Mongo,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
DR,VIRTUAL,finmongo1dr3,10.190.230.166,finmongo1dr3,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,4,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Mongo,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finpgsql1dp1,10.190.227.167,finpgsql1dp1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,4,32,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Postgre,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finpgsql1dp2,10.190.227.168,finpgsql1dp2,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,4,32,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Postgre,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
DR,VIRTUAL,finpgsql1dr1,10.190.230.167,finpgsql1dr1,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,4,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,Cloud DB,VF Finans Application,Postgre,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finngnxap1,10.190.231.52,finngnxap1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,2,8,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans Application,Charging ,Bulent Korucuoglu,Rukiye Ozturk,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finngnxap2,10.190.231.53,finngnxap2,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,2,8,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans Application,Charging ,Bulent Korucuoglu,Rukiye Ozturk,,,7-Jan-21,yes,,,
DR,VIRTUAL,finngnxar1,10.190.232.52,finngnxar1,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,2,8,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans Application,Charging ,Bulent Korucuoglu,Rukiye Ozturk,,,7-Jan-21,yes,,,
DR,VIRTUAL,finngnxar2,10.190.232.53,finngnxar2,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,2,8,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans Application,Charging ,Bulent Korucuoglu,Rukiye Ozturk,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finopsmngap1,10.190.231.21,finopsmngap1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,2,16,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,OPS manager,OPS manager,Mehmet Kurt,Eren Orhan,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finzabixdp1,10.190.227.169,finzabixdp1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,2,16,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans Monitoring,Postgre,Mehmet Kurt,Rukiye Ozturk,,,7-Jan-21,yes,IT IO DB,,
PRODUCTION,VIRTUAL,finuampsmpap1,10.190.227.233,finuampsmpap1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,2,8,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans UAM PSMP,Security ,Bahadir Gurtekin,Murat Gokmen,,,7-Jan-21,yes,,,
DR,VIRTUAL,finuampsmpar1,10.190.230.231,finuampsmpar1,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,2,8,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans UAM PSMP,Security ,Bahadir Gurtekin,Murat Gokmen,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finbackupap1,10.190.233.132,finbackupap1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,LINUX,16,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans Backup,Backup,Bekir Hacibekir,Ugur Gurel,,,7-Jan-21,yes,,,
DR,VIRTUAL,finbackupar1,10.190.234.132,finbackupar1,finco_gzm1,fingzm-vcenter,172.30.34.90,vsphere client,LINUX,16,64,rhel 7.9_x86_64,,7-Jan-21,no,,,,IT,VF Finans Backup,Backup,Bekir Hacibekir,Ugur Gurel,,,7-Jan-21,yes,,,
PRODUCTION,VIRTUAL,cldbigdtap1,10.86.63.21,cldbigdtap1,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,,no,na,na,na,Cloud DB,CLOUD DB,,Mehmet Kurt,Murat Cavli,no,,8-Jan-21,yes,,,
DR,PHYSICAL,cyp-kvmoldr1,172.27.15.212,cyp-kvmoldr1,cyp-kvmoldr1,cyp-kvmoldr1,10.151.243.247,ssh,LINUX,24,128,rhel 7.9_x86_64,,13-Jan-21,no,,,,KKTC-DR,KVM,KVM,Mehmet Kurt,Rukiye Ozturk,Yes,1664,13-Jan-21,yes,IT-INMNG,,
DR,PHYSICAL,cyp-kvmoldr2,172.27.15.213,cyp-kvmoldr2,cyp-kvmoldr2,cyp-kvmoldr2,10.151.243.248,ssh,LINUX,24,128,rhel 7.9_x86_64,,13-Jan-21,no,,,,KKTC-DR,KVM,KVM,Mehmet Kurt,Rukiye Ozturk,Yes,1664,13-Jan-21,yes,IT-INMNG,,
TEST,VIRTUAL,georanat01,172.31.61.28,georanat01,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,2,16,rhel 7.8_x86_64,,15-Jan-21,no,,,,IT,GeoRAN,,Erhan Eraydin,Rukiye Ozturk,,,15-Jan-21,yes,,,
PRODUCTION,VIRTUAL,clddbpmmap1,10.86.30.17,clddbpmmap1,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,16,32,rhel 7.9_x86_64,,15-Jan-21,no,,,,IT,CLOUDDB,,Ali Elmali,,,,15-Jan-21,no,,,
PRODUCTION,VIRTUAL,ivr-webap7,10.86.31.56,ivr-webap7,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,16,32,rhel 7.8_x86_64,,17-Jan-21,no,,,,IT,IWR Web Applications,,Huseyin Saka,Saadet Dingec,,,17-Jan-21,yes,,,
PRODUCTION,VIRTUAL,ivr-webap17,10.86.146.139,ivr-webap17,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,16,32,rhel 7.8_x86_64,,17-Jan-21,no,,,,IT,IWR Web Applications,,Huseyin Saka,Saadet Dingec,,,17-Jan-21,yes,,,
TEST,VIRTUAL,loadrunnerat01,172.31.71.9, loadrunnerat01,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,4,16,rhel 7.8_x86_64,,17-Jan-21,no,,,,IT,  Release Management,,Ertun Ucyildiz,Onur Onan,,,17-Jan-21,yes,,,
TEST,VIRTUAL,loadrunnerat02,172.31.71.10, loadrunnerat02,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,4,16,rhel 7.8_x86_64,,17-Jan-21,no,,,,IT,  Release Management,,Ertun Ucyildiz,Onur Onan,,,17-Jan-21,yes,,,
PRODUCTION,VIRTUAL,vn-cpcap1,195.87.113.150,vn-cpcap1,INTERNAL2_LINUX,INTERNAL2_LINUX,esenyurtvc01,https,APPLIANCE,12,16,CENTOS,,18-Jan-21,na,,,,VFNET,VFNET,,Metehan Sarac,,,3025,18-Jan-21,no,,,
PRODUCTION,VIRTUAL,vnsecqueryap1,10.190.17.164,vnsecqueryap1,INTERNAL2_LINUX,INTERNAL2_LINUX,172.30.34.135,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,20-Jan-21,no,,,,IT,TR_VFNETIPSORGULAMA,,Metehan Sarac,Rukiye Ozturk,,,20-Jan-21,yes,,,
DEVELOPMENT,VIRTUAL,sclmdpgdd1,172.31.54.19,sclmdpgdd1 ,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,8,16,rhel 7.8_x86_64,,20-Jan-21,no,,,,IT,Social Media,,Mehmet Kurt,Eren Orhan,,,20-Jan-21,yes,,,
TEST,VIRTUAL,sclmdpgdt1,172.31.61.23,sclmdpgdt1,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,8,16,rhel 7.8_x86_64,,20-Jan-21,no,,,,IT,Social Media,,Ertun Ucyildiz,Onur Onan,,,20-Jan-21,yes,,,
DEVELOPMENT,VIRTUAL,sclmdad01,172.31.54.20,sclmdad01,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,8,16,rhel 7.8_x86_64,,20-Jan-21,no,,,,IT,Social Media,,Ertun Ucyildiz,Onur Onan,,,20-Jan-21,yes,,,
TEST,VIRTUAL,sclmdat01,172.31.61.24,sclmdat01,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,8,16,rhel 7.8_x86_64,,20-Jan-21,no,,,,IT,Social Media,,Ertun Ucyildiz,Onur Onan,,,20-Jan-21,yes,,,
PRODUCTION,VIRTUAL,finimpmxap1,10.190.227.245,finimpmxap1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,APPLIANCE,8,16,appliance,,7-Jan-21,no,,,,IT,Imperva MX Module,Imperva MX Module,Gokhan Bozdogan,,,,7-Jan-21,no,,,
PRODUCTION,VIRTUAL,finimpcolap1,10.190.227.246,finimpcolap1,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,APPLIANCE,4,8,appliance,,7-Jan-21,no,,,,IT,Imperva MX Module,Imperva MX Module,Gokhan Bozdogan,,,,7-Jan-21,no,,,
PRODUCTION,VIRTUAL,finimpcolap2,10.190.227.247,finimpcolap2,finco_esy1,finesy-vcenter,10.86.14.90,vsphere client,APPLIANCE,4,8,appliance,,7-Jan-21,no,,,,IT,Imperva MX Module,Imperva MX Module,Gokhan Bozdogan,,,,7-Jan-21,no,,,
PRODUCTION,PHYSICAL,vnsmsc2dp1,82.150.89.164,vnsmsc2dp1,vnsmsc2dp1,vnsmsc2dp1,172.28.233.92,https,LINUX,20,384,rhel 7.9_x86_64,,20-Jan-21,na,,,,VFNET,VFNET,,Mehmet Kurt,Ozan Pekdemir,,3013,20-Jan-21,yes,,,
PRODUCTION,PHYSICAL,vnsmsc2dp2,82.150.89.166,vnsmsc2dp2,vnsmsc2dp2,vnsmsc2dp2,172.28.233.91,https,LINUX,20,384,rhel 7.9_x86_64,,20-Jan-21,na,,,,VFNET,VFNET,,Mehmet Kurt,Ozan Pekdemir,,3013,20-Jan-21,yes,,,
DR,PHYSICAL,vnsmsdr01,82.150.89.171,vnsmsdr01,vnsmsdr01,vnsmsdr01,172.28.233.94,https,LINUX,20,384,rhel 7.9_x86_64,,20-Jan-21,na,,,,VFNET,VFNET,,Mehmet Kurt,Ozan Pekdemir,,3013,20-Jan-21,yes,,,
DR,PHYSICAL,vnsmsdr02,82.150.89.173,vnsmsdr02,vnsmsdr02,vnsmsdr02,172.28.233.93,https,LINUX,20,384,rhel 7.9_x86_64,,20-Jan-21,na,,,,VFNET,VFNET,,Mehmet Kurt,Ozan Pekdemir,,3013,20-Jan-21,yes,,,
PRODUCTION,VIRTUAL,cntlogtkfkp1,10.86.60.241,cntlogtkfkp1,EsyEsxProd01,EsyEsxProd01,10.86.14.60,vsphere client,LINUX,8,64,rhel 7.9_x86_64,,26-Oct-20,no,na,na,na,IT,Central Logging Kafka,,Murat Y�ld�r�m,Ugur Gurel,no,6211,12-Jul-18,yes,IT-UNIX,,
TEST,VIRTUAL,vnnxtmngdx2,10.188.92.19,vnnxtmngdx2,VFNET_ESY,INTERNAL_2_Linux,10.86.14.60,vsphere client,LINUX,8,16,rhel 7.9_x86_64,,26-Jan-21,no,,,,VFNET,Next Test Mongodb,Release Management,Ertun Ucyildiz,Onur Onan,,,26-Jan-21,yes,,,
PRODUCTION,VIRTUAL,mccmelkap4,10.86.69.201,mccmelkap4,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,8,24,rhel 7.9_x86_64,,26-Jan-21,no,,,,IT,MCCM ELK Log Management,,Cavit Onan,Murat Sari,,,26-Jan-21,yes,,,
PRODUCTION,VIRTUAL,mccmelkap5,10.86.69.202,mccmelkap5,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,8,24,rhel 7.9_x86_64,,26-Jan-21,no,,,,IT,MCCM ELK Log Management,,Cavit Onan,Murat Sari,,,26-Jan-21,yes,,,
PRODUCTION,VIRTUAL,smrtchkpg1,172.31.60.251,smrtchkpg1,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,4,8,rhel 7.9_x86_64,,28-Jan-21,na,,,,Cloud DB,Smart Check ,Smart Check ,Mehmet Kurt,Murat Sari,,,28-Jan-21,yes,,,
TEST,PHYSICAL,vndwhdt01,172.31.61.21,vndwhdt01,vndwhdt01,vndwhdt01,172.31.87.45,https,LINUX,16,192,rhel 7.9_x86_64,,31-Jan-21,no,,,,IT,DWH test,,Ertun Ucyildiz,Onur Onan,,,31-Jan-21,yes,,,
PRODUCTION,VIRTUAL,emsspl08,195.87.1.33,emsspl08,vfnet,INTERNAL2_LINUX,10.86.14.60,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,1-Feb-21,no,,,,VFNET,CA spectrum,,Ertugrul Cayli,Rukiye Ozturk,,,1-Feb-21,yes,VFNET-OSS,,
PRODUCTION,VIRTUAL,emsspl09,195.87.1.34,emsspl09,vfnet,INTERNAL2_LINUX,10.86.14.60,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,1-Feb-21,no,,,,VFNET,CA spectrum,,Ertugrul Cayli,Rukiye Ozturk,,,1-Feb-21,yes,VFNET-OSS,,
PRODUCTION,VIRTUAL,emsspl10,195.87.1.35,emsspl10,vfnet,INTERNAL2_LINUX,10.86.14.60,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,1-Feb-21,no,,,,VFNET,CA spectrum,,Ertugrul Cayli,Rukiye Ozturk,,,1-Feb-21,yes,VFNET-OSS,,
PRODUCTION,VIRTUAL,emsspl11,195.87.1.36,emsspl11,vfnet,INTERNAL2_LINUX,10.86.14.60,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,1-Feb-21,no,,,,VFNET,CA spectrum,,Ertugrul Cayli,Rukiye Ozturk,,,1-Feb-21,yes,VFNET-OSS,,
PRODUCTION,VIRTUAL,emsspml02,195.87.1.15,emsspl12,vfnet,INTERNAL2_LINUX,10.86.14.60,vsphere client,LINUX,4,16,rhel 7.9_x86_64,,1-Feb-21,no,,,,VFNET,CA spectrum,,Ertugrul Cayli,Rukiye Ozturk,,,1-Feb-21,yes,VFNET-OSS,,
DEVELOPMENT,VIRTUAL,partymngdd01,172.31.54.21,partymngdd01,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,4,8,rhel 7.9_x86_64,,2-Feb-21,na,,,,Cloud DB,Release Management,Mongo,Ertun Ucyildiz,Onur Onan,,,2-Feb-21,yes,,,
DEVELOPMENT,VIRTUAL,partypgdd01,172.31.54.22,partypgdd01,IZM_RMTESTESX_LIN,IZM_RMTESTESX_LIN,172.30.34.135,vsphere client,LINUX,4,8,rhel 7.9_x86_64,,2-Feb-21,na,,,,Cloud DB,Release Management ,postgre,Ertun Ucyildiz,Onur Onan,,,2-Feb-21,yes,,,
